구분,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
부산,북구,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,2.8(0.6),2.6(0.5),910,4.8(0.8),4.0(0.6),909,3.0(0.5),2.1(0.4),909,2.3(0.5),2.4(0.6),909,3.5(0.6),3.3(0.7),909,3.5(0.6),3.0(0.7),909,7.1(0.8),7.2(1.1),909,3.0(0.5),2.4(0.5)
부산,사상구,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,3.5(0.7),3.2(0.6),911,5.0(0.8),4.1(0.6),908,5.1(0.7),4.7(0.7),907,3.0(0.5),3.1(0.6),909,5.3(0.6),4.7(0.8),909,6.9(1.1),6.8(1.1),909,7.9(1.1),8.2(1.2),909,6.0(0.9),4.7(0.8)
부산,사하구,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,3.2(0.7),3.0(0.6),909,4.6(0.8),4.5(0.8),909,2.5(0.5),2.5(0.6),909,3.5(0.6),3.9(0.7),910,2.7(0.6),2.4(0.6),910,4.7(0.8),3.9(0.7),909,5.2(0.8),5.6(1.0),910,4.7(0.8),4.4(0.8)
부산,서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,1.7(0.4),0.9(0.2),904,3.6(0.7),2.8(0.7),905,1.0(0.3),1.0(0.3)*,896,3.8(0.7),3.2(0.7),900,3.2(0.7),3.1(0.8),905,6.9(0.9),6.1(1.2),898,2.9(0.6),2.6(0.6),905,3.4(0.6),2.2(0.5)
부산,수영구,,,,,,,,,,,,,,,,,,,,,,,,,,,,908,2.9(0.7),2.6(0.7)*,908,3.5(0.6),3.2(0.7),908,1.1(0.4),0.6(0.2)*,908,3.1(0.6),3.2(0.7),907,3.4(0.6),3.0(0.6),912,3.7(0.7),3.6(0.7),908,2.9(0.6),2.9(0.7),913,5.7(0.8),4.8(0.8)
부산,연제구,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,2.8(0.4),2.6(0.5),908,4.2(0.7),4.0(0.7),908,4.9(0.8),4.7(0.8),908,2.4(0.4),2.7(0.6),910,4.3(0.6),3.5(0.7),908,2.5(0.6),2.4(0.7),901,3.8(0.8),4.0(0.9),907,5.5(1.0),5.3(1.0)
부산,영도구,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,5.1(0.7),4.8(0.8),898,5.4(1.1),5.0(0.9),906,3.0(0.5),3.5(0.6),904,3.8(0.7),2.9(0.6),891,6.2(0.9),5.1(1.1),893,7.1(0.9),6.8(1.1),889,5.1(0.9),3.4(0.7),905,5.8(0.8),4.9(1.0)
부산,중구,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,2.4(0.6),2.6(0.7),896,6.6(1.0),6.1(1.0),895,2.9(0.6),2.2(0.5),891,4.3(0.7),4.2(0.8),895,2.8(0.5),1.9(0.5),895,3.6(0.8),4.1(0.9),895,2.6(0.5),3.3(0.8),895,4.8(0.8),3.5(0.6)
부산,해운대구,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,4.1(0.6),4.0(0.8),894,3.5(0.5),3.1(0.6),909,4.0(0.6),3.7(0.6),910,3.3(0.6),3.3(0.6),910,2.9(0.5),3.0(0.6),908,4.6(0.6),4.2(0.7),888,2.7(0.5),3.2(0.7),910,3.3(0.6),3.5(0.8)
대구,남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,2.5(0.8),2.3(0.5)*,909,2.6(0.6),2.6(0.7),911,1.7(0.4),1.3(0.4)*,915,1.4(0.4),1.3(0.4),915,3.2(0.5),3.3(0.6),913,4.2(0.8),4.6(1.0),911,5.4(0.8),5.9(1.1),913,4.9(0.8),4.0(0.8)
대구,달서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,2.3(0.4),2.5(0.5),915,2.9(0.5),2.7(0.6),914,2.6(0.5),2.6(0.5),911,2.4(0.5),2.6(0.5),921,2.6(0.5),2.7(0.5),914,2.2(0.4),2.0(0.4),917,2.6(0.5),2.8(0.5),917,2.0(0.5),2.1(0.6)
대구,달성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,3.4(0.8),3.5(0.8),912,2.3(0.6),2.2(0.6)*,911,3.1(0.8),3.3(0.8)*,913,2.2(0.5),2.1(0.5),916,3.2(0.5),3.3(0.7),914,4.7(0.8),5.2(0.9),912,2.8(0.6),2.9(0.7),912,3.3(0.5),3.5(0.7)
대구,동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,3.4(0.7),3.1(0.6),916,1.5(0.5),1.3(0.4)*,912,2.8(0.6),2.6(0.6),916,1.2(0.3),1.2(0.3),913,2.3(0.5),2.3(0.5),915,3.2(0.5),3.5(0.7),918,3.5(0.6),3.7(0.7),914,4.3(0.7),4.2(0.8)
대구,북구,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,1.1(0.3),1.0(0.3)*,907,2.1(0.5),2.0(0.4),907,4.0(0.6),3.9(0.6),913,2.6(0.5),2.1(0.5),915,3.1(0.5),3.2(0.6),916,2.9(0.5),2.9(0.6),914,6.0(0.7),5.9(0.8),913,3.1(0.5),3.0(0.7)
대구,서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,2.0(0.5),2.3(0.6)*,912,1.5(0.4),1.5(0.4),910,2.0(0.5),2.3(0.7),917,2.6(0.4),2.9(0.7),915,2.2(0.5),2.2(0.6)*,912,3.5(0.6),3.7(0.8),914,1.4(0.3),1.1(0.3)*,911,2.0(0.5),2.1(0.7)*
대구,수성구,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,2.2(0.4),2.3(0.5),914,1.2(0.4),1.4(0.4)*,913,1.3(0.4),1.1(0.4)*,916,1.6(0.4),1.5(0.4),923,2.5(0.4),2.6(0.6),916,2.6(0.8),2.3(0.5)*,916,3.2(0.5),3.1(0.6),913,3.0(0.5),2.8(0.7)
대구,중구,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,4.5(0.8),4.4(0.9),904,2.1(0.6),1.5(0.4)*,900,3.9(0.7),3.1(0.5),910,3.6(0.8),4.1(0.8),908,3.3(0.7),3.4(0.7),911,3.4(0.8),3.9(0.8),910,2.4(0.6),2.5(0.6),908,3.2(0.5),2.9(0.6)
대구,군위군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,0.8(0.5),2.4(2.0)**,867,2.4(0.5),3.4(1.3)
인천,강화군,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,2.5(0.7),3.1(1.1)*,894,4.1(0.8),3.3(1.0),892,3.2(0.7),2.9(1.2),893,1.4(0.4),1.2(0.6)*,894,2.4(0.7),2.5(1.1)*,895,2.2(0.5),2.3(1.0),889,4.3(0.8),5.3(1.4),893,5.6(0.9),6.0(1.6)
인천,계양구,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,3.4(0.6),3.4(0.6),905,5.5(0.7),5.3(0.7),900,4.1(0.7),3.9(0.7),901,5.0(0.6),4.5(0.7),902,6.9(0.8),7.2(0.9),902,4.0(0.7),3.6(0.6),902,6.4(1.0),5.5(0.9),903,4.2(0.7),3.7(0.7)
인천,미추홀구,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,5.4(0.7),5.8(0.7),902,7.1(0.9),7.0(0.9),899,4.7(0.8),4.9(0.8),899,5.4(0.8),5.3(0.8),902,4.8(0.8),4.9(0.7),902,5.9(0.7),6.3(0.8),902,5.4(0.7),5.6(0.8),902,4.9(0.7),4.4(0.6)
인천,남동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,4.0(0.9),4.1(0.8),904,2.9(0.5),2.8(0.6),903,2.5(0.5),2.7(0.6),903,1.4(0.4),1.4(0.4)*,902,2.8(0.5),2.8(0.6),903,5.4(0.9),5.8(0.9),903,5.9(0.8),5.8(0.8),902,8.2(1.1),8.9(1.1)
인천,동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,891,5.9(0.9),6.0(1.0),894,7.0(1.0),7.0(1.2),895,6.2(0.8),5.4(0.9),895,4.5(0.8),4.7(0.9),896,2.1(0.4),1.9(0.6),896,4.5(0.8),4.2(1.0),896,4.7(0.7),4.7(1.0),896,4.9(0.9),4.5(1.0)
인천,부평구,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,4.4(0.6),4.4(0.6),898,4.9(1.0),4.3(0.7),905,3.6(0.6),3.4(0.5),905,3.3(0.5),3.5(0.6),903,3.4(0.7),3.5(0.7),903,5.0(0.7),5.1(0.8),903,3.7(0.6),3.3(0.5),904,5.8(0.7),5.7(0.9)
인천,서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,2.3(0.5),2.2(0.5),902,6.2(0.9),6.1(0.9),902,2.7(0.5),2.9(0.6),900,4.9(0.6),5.0(0.8),903,3.5(0.6),3.5(0.6),902,3.9(0.5),4.1(0.6),903,3.0(0.5),3.2(0.6),902,4.3(0.7),4.1(0.7)
